ACCOUNT_ID;AMOUNT;CURRENCY;BOOKING_DATE;TRANSACTION_DATE;VALUE_DATE;BOOKING_TEXT;BOOKING_TYPE;CATEGORY_CODE;USER_CATEGORY_CODE;TRANSACTION_TYPE;EXT_TYPE;CATEGORY_STATE;SPLIT_STATE;USER_NOTE
Konto 2.1;195.00;CHF;05.01.14 04:59:33.000000000;05.01.14 04:59:33.000000000;06.01.14 00:00:00.000000000;"Einkauf Dino Coiffeur
03.01.2014/11:17 / Maestro-Karte 2.1";DEBIT;cv_hairdresser;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;750.00;CHF;24.01.14 02:44:20.000000000;24.01.14 02:44:20.000000000;24.01.14 00:00:00.000000000;Gutschrift Fred Feuerstein;CREDIT;cv_income;cv_income;BANKBOOKING;9882;SYSTEM;UNSPLITTED;
Konto 2.1;31.00;CHF;29.01.14 10:57:26.000000000;29.01.14 10:57:26.000000000;29.01.14 00:00:00.000000000;"Einkauf Mamerikar Geschenke
28.01.2014/16:34 / Maestro-Karte 2.1";DEBIT;cv_presents;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;52.95;CHF;01.02.14 05:11:45.000000000;01.02.14 05:11:45.000000000;03.02.14 00:00:00.000000000;"Einkauf Dropa Drogerie Breit
31.01.2014/11:20 / Maestro-Karte 2.1";DEBIT;cv_pharmacy;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;135.50;CHF;05.02.14 07:27:19.000000000;05.02.14 07:27:19.000000000;05.02.14 00:00:00.000000000;"Einkauf Manor AG - 477
04.02.2014/09:32 / Maestro-Karte 2.1";DEBIT;cv_leisure_shopping;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;99.60;CHF;07.02.14 04:41:03.000000000;07.02.14 04:41:03.000000000;07.02.14 00:00:00.000000000;"Einkauf Manor AG - 477
05.02.2014/13:48 / Maestro-Karte 2.1";DEBIT;cv_leisure_shopping;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;34.80;CHF;07.02.14 05:11:59.000000000;07.02.14 05:11:59.000000000;07.02.14 00:00:00.000000000;"Einkauf Fetzenladen
05.02.2014/14:13 / Maestro-Karte 2.1";DEBIT;cv_office;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;85.80;CHF;14.02.14 07:56:27.000000000;14.02.14 07:56:27.000000000;14.02.14 00:00:00.000000000;"Einkauf Fetzenladen
12.02.2014/13:31 / Maestro-Karte 2.1";DEBIT;cv_office;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;29.90;CHF;15.02.14 05:40:59.000000000;15.02.14 05:40:59.000000000;17.02.14 00:00:00.000000000;"Einkauf Manor AG - 477
13.02.2014/16:23 / Maestro-Karte 2.1";DEBIT;cv_leisure_shopping;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;113.00;CHF;23.02.14 06:26:48.000000000;23.02.14 06:26:48.000000000;24.02.14 00:00:00.000000000;"Einkauf Dino Coiffeur
21.02.2014/15:40 / Maestro-Karte 2.1";DEBIT;cv_hairdresser;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;750.00;CHF;26.02.14 02:59:52.000000000;26.02.14 02:59:52.000000000;26.02.14 00:00:00.000000000;Gutschrift Fred Feuerstein;CREDIT;cv_income;cv_income;BANKBOOKING;9882;SYSTEM;UNSPLITTED;
Konto 2.1;201.20;CHF;09.03.14 05:12:18.000000000;09.03.14 05:12:18.000000000;10.03.14 00:00:00.000000000;"Einkauf Fetzenladen
07.03.2014/14:00 / Maestro-Karte 2.1";DEBIT;cv_office;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;62.90;CHF;11.03.14 05:27:46.000000000;11.03.14 05:27:46.000000000;11.03.14 00:00:00.000000000;"Einkauf Dropa Drogerie Breit
10.03.2014/08:42 / Maestro-Karte 2.1";DEBIT;cv_pharmacy;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;750.00;CHF;26.03.14 03:34:13.000000000;26.03.14 03:34:13.000000000;26.03.14 00:00:00.000000000;Gutschrift Fred Feuerstein;CREDIT;cv_income;cv_income;BANKBOOKING;9882;SYSTEM;UNSPLITTED;
Konto 2.1;115.60;CHF;10.04.14 03:11:13.000000000;10.04.14 03:11:13.000000000;10.04.14 00:00:00.000000000;"Einkauf Dropa Steintal AG
09.04.2014/14:15 / Maestro-Karte 2.1";DEBIT;cv_health;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;49.90;CHF;10.04.14 03:41:51.000000000;10.04.14 03:41:51.000000000;10.04.14 00:00:00.000000000;"Einkauf Voegele Mode AG
09.04.2014/14:26 / Maestro-Karte 2.1";DEBIT;cv_clothes;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;71.60;CHF;11.04.14 07:58:38.000000000;11.04.14 07:58:38.000000000;11.04.14 00:00:00.000000000;"Einkauf Fetzenladen
09.04.2014/14:07 / Maestro-Karte 2.1";DEBIT;cv_office;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;162.60;CHF;17.04.14 04:26:43.000000000;17.04.14 04:26:43.000000000;17.04.14 00:00:00.000000000;"Einkauf Dino Coiffeur
15.04.2014/16:23 / Maestro-Karte 2.1";DEBIT;cv_hairdresser;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;750.00;CHF;25.04.14 04:21:38.000000000;25.04.14 04:21:38.000000000;25.04.14 00:00:00.000000000;Gutschrift Fred Feuerstein;CREDIT;cv_income;cv_income;BANKBOOKING;9882;SYSTEM;UNSPLITTED;
Konto 2.1;48.70;CHF;06.05.14 05:12:21.000000000;06.05.14 05:12:21.000000000;06.05.14 00:00:00.000000000;"Einkauf Dropa Steintal AG
05.05.2014/13:39 / Maestro-Karte 2.1";DEBIT;cv_health;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;200.50;CHF;07.05.14 06:26:12.000000000;07.05.14 06:26:12.000000000;07.05.14 00:00:00.000000000;"Einkauf Fetzenladen
05.05.2014/13:59 / Maestro-Karte 2.1";DEBIT;cv_office;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;66.50;CHF;14.05.14 05:58:12.000000000;14.05.14 05:58:12.000000000;14.05.14 00:00:00.000000000;"Einkauf Apotheke Wild
13.05.2014/16:21 / Maestro-Karte 2.1";DEBIT;cv_pharmacy;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;69.90;CHF;18.05.14 04:29:34.000000000;18.05.14 04:29:34.000000000;19.05.14 00:00:00.000000000;"Einkauf Street one, Neumarkt
17.05.2014/15:20 / Maestro-Karte 2.1";DEBIT;cv_clothes;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;750.00;CHF;26.05.14 03:27:44.000000000;26.05.14 03:27:44.000000000;26.05.14 00:00:00.000000000;Gutschrift Fred Feuerstein;CREDIT;cv_income;cv_income;BANKBOOKING;9882;SYSTEM;UNSPLITTED;
Konto 2.1;172.80;CHF;03.06.14 04:56:50.000000000;03.06.14 04:56:50.000000000;03.06.14 00:00:00.000000000;"Einkauf Dropa Steintal AG
02.06.2014/08:26 / Maestro-Karte 2.1";DEBIT;cv_health;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;59.70;CHF;04.06.14 05:27:37.000000000;04.06.14 05:27:37.000000000;04.06.14 00:00:00.000000000;"Einkauf Fetzenladen
02.06.2014/13:44 / Maestro-Karte 2.1";DEBIT;cv_office;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;129.00;CHF;04.06.14 05:42:48.000000000;04.06.14 05:42:48.000000000;04.06.14 00:00:00.000000000;"Einkauf Zielcenter
02.06.2014/13:46 / Maestro-Karte 2.1";DEBIT;cv_clothes;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;326.00;CHF;06.06.14 08:56:42.000000000;06.06.14 08:56:42.000000000;06.06.14 00:00:00.000000000;"Einkauf Fetzenladen
04.06.2014/14:16 / Maestro-Karte 2.1";DEBIT;cv_office;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;195.00;CHF;08.06.14 06:41:50.000000000;08.06.14 06:41:50.000000000;10.06.14 00:00:00.000000000;"Einkauf Dino Coiffeur
06.06.2014/11:34 / Maestro-Karte 2.1";DEBIT;cv_hairdresser;;CARDPAYMENT;541;SYSTEM;UNSPLITTED;
Konto 2.1;750.00;CHF;26.06.14 02:16:19.000000000;26.06.14 02:16:19.000000000;26.06.14 00:00:00.000000000;Gutschrift Fred Feuerstein;CREDIT;cv_income;cv_income;BANKBOOKING;9882;SYSTEM;UNSPLITTED;
